epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3313,0.43059,0.43496,1.58276,0.86603,0.88316,0.90963,0.83217,0.3867,0.42254,1.60009,0.000362927,0.000362927,0.000362927
2,18.7438,0.44557,0.43924,1.58061,0.87038,0.8802,0.91104,0.82664,0.41889,0.45443,1.63488,0.000718741,0.000718741,0.000718741
3,27.126,0.45977,0.4581,1.59924,0.88386,0.84668,0.87986,0.78576,0.46375,0.50794,1.62142,0.00105989,0.00105989,0.00105989
4,35.7078,0.46581,0.49778,1.56466,0.87049,0.85131,0.88232,0.78655,0.43522,0.50951,1.64089,0.00104501,0.00104501,0.00104501
5,43.6947,0.47213,0.49054,1.58766,0.85801,0.86111,0.88245,0.80219,0.41836,0.48105,1.62099,0.00102301,0.00102301,0.00102301
6,51.6569,0.45596,0.46991,1.58237,0.89328,0.85879,0.91153,0.81456,0.41863,0.46952,1.62209,0.00100101,0.00100101,0.00100101
7,59.448,0.47361,0.47482,1.60741,0.89866,0.85455,0.88957,0.79635,0.42704,0.47981,1.62193,0.000979013,0.000979013,0.000979013
8,67.3829,0.47131,0.46662,1.5874,0.88758,0.87717,0.88724,0.80717,0.42013,0.49872,1.6181,0.000957015,0.000957015,0.000957015
9,75.341,0.46428,0.4754,1.60201,0.85403,0.86877,0.89859,0.81535,0.42071,0.45016,1.64134,0.000935018,0.000935018,0.000935018
10,83.5786,0.45217,0.43913,1.6023,0.91128,0.82023,0.89738,0.81909,0.40726,0.46538,1.61919,0.00091302,0.00091302,0.00091302
11,91.7076,0.45272,0.45578,1.57388,0.87243,0.84969,0.88922,0.80127,0.42068,0.47667,1.59323,0.000891022,0.000891022,0.000891022
12,99.9978,0.45009,0.46312,1.58943,0.88957,0.83366,0.87933,0.79433,0.42203,0.48536,1.59806,0.000869024,0.000869024,0.000869024
13,108.264,0.46015,0.46093,1.62657,0.90399,0.83349,0.90157,0.8159,0.41379,0.46821,1.6318,0.000847026,0.000847026,0.000847026
14,116.166,0.44414,0.44717,1.58303,0.86283,0.86061,0.89118,0.81091,0.40478,0.4894,1.61486,0.000825029,0.000825029,0.000825029
15,124.034,0.44543,0.44715,1.5801,0.89049,0.87515,0.90508,0.8204,0.40989,0.44578,1.63557,0.000803031,0.000803031,0.000803031
16,132.328,0.44176,0.44295,1.59757,0.88143,0.83811,0.89131,0.80729,0.39691,0.4654,1.58571,0.000781033,0.000781033,0.000781033
17,140.934,0.44043,0.43574,1.58531,0.87593,0.86453,0.90741,0.81902,0.40259,0.45399,1.60566,0.000759035,0.000759035,0.000759035
18,150.022,0.4301,0.40994,1.57202,0.88082,0.84334,0.88184,0.80059,0.39838,0.46277,1.60711,0.000737037,0.000737037,0.000737037
19,158.88,0.43549,0.42591,1.60752,0.83068,0.87402,0.89377,0.81387,0.38736,0.46614,1.61387,0.00071504,0.00071504,0.00071504
20,167.58,0.42785,0.40963,1.57621,0.88588,0.83339,0.87911,0.8032,0.3945,0.47213,1.6289,0.000693042,0.000693042,0.000693042
21,176.194,0.4263,0.41411,1.59477,0.9051,0.84695,0.89701,0.82316,0.39515,0.45935,1.61466,0.000671044,0.000671044,0.000671044
22,184.776,0.41451,0.3991,1.60033,0.88635,0.8679,0.908,0.8421,0.38007,0.4532,1.61118,0.000649046,0.000649046,0.000649046
23,193.467,0.43253,0.41612,1.601,0.86691,0.87442,0.90162,0.81794,0.3952,0.44128,1.59005,0.000627048,0.000627048,0.000627048
24,202.004,0.40627,0.38034,1.56526,0.90677,0.86362,0.90916,0.84006,0.37975,0.42237,1.59321,0.000605051,0.000605051,0.000605051
25,210.607,0.40615,0.38725,1.59336,0.90804,0.88625,0.91539,0.84034,0.37422,0.41011,1.59031,0.000583053,0.000583053,0.000583053
26,219.288,0.40673,0.38261,1.56421,0.88296,0.87744,0.90984,0.84167,0.38416,0.43537,1.60448,0.000561055,0.000561055,0.000561055
27,227.832,0.39431,0.37639,1.57414,0.87767,0.88217,0.89796,0.82398,0.39225,0.44884,1.59208,0.000539057,0.000539057,0.000539057
28,240.034,0.40109,0.36971,1.56871,0.89288,0.84086,0.89829,0.8228,0.39267,0.40105,1.59455,0.000517059,0.000517059,0.000517059
29,251.812,0.39913,0.38468,1.59879,0.88875,0.8568,0.89398,0.82035,0.3704,0.42471,1.59814,0.000495062,0.000495062,0.000495062
30,262.96,0.40187,0.37308,1.58931,0.89345,0.86334,0.90802,0.83562,0.38675,0.40878,1.5987,0.000473064,0.000473064,0.000473064
31,273.566,0.39328,0.37686,1.58112,0.88985,0.86166,0.90825,0.83837,0.36365,0.41625,1.5949,0.000451066,0.000451066,0.000451066
32,283.391,0.3881,0.3624,1.56791,0.90494,0.8643,0.90948,0.84578,0.35852,0.40467,1.5853,0.000429068,0.000429068,0.000429068
33,293.634,0.38536,0.35392,1.55437,0.88991,0.88243,0.9095,0.84426,0.36223,0.40016,1.58564,0.00040707,0.00040707,0.00040707
34,302.211,0.39212,0.36197,1.59428,0.93283,0.858,0.90868,0.84145,0.35209,0.40391,1.58647,0.000385073,0.000385073,0.000385073
35,310.988,0.37762,0.35451,1.56312,0.88848,0.8754,0.90933,0.84485,0.3531,0.41306,1.59681,0.000363075,0.000363075,0.000363075
36,319.819,0.37443,0.34901,1.57484,0.91941,0.8804,0.91887,0.85369,0.34845,0.37341,1.59401,0.000341077,0.000341077,0.000341077
37,329.781,0.363,0.33048,1.56376,0.88793,0.88731,0.90252,0.84029,0.34023,0.39181,1.58318,0.000319079,0.000319079,0.000319079
38,339.272,0.36414,0.33574,1.54995,0.9241,0.87419,0.91768,0.85774,0.34314,0.38629,1.57882,0.000297081,0.000297081,0.000297081
39,349.687,0.36858,0.34379,1.57024,0.90211,0.88237,0.91339,0.8446,0.34327,0.39374,1.57437,0.000275084,0.000275084,0.000275084
40,358.876,0.37655,0.36143,1.58752,0.92247,0.87097,0.92273,0.86206,0.33426,0.36915,1.57437,0.000253086,0.000253086,0.000253086
41,385.808,0.30693,0.28484,1.51123,0.91407,0.86687,0.90595,0.84548,0.33832,0.37562,1.56327,0.000231088,0.000231088,0.000231088
42,394.62,0.29822,0.26052,1.47783,0.90102,0.89296,0.9156,0.85383,0.3377,0.37141,1.5803,0.00020909,0.00020909,0.00020909
43,403.39,0.29661,0.25898,1.47565,0.89092,0.90438,0.92214,0.86191,0.33518,0.3721,1.58306,0.000187092,0.000187092,0.000187092
44,412.154,0.28355,0.24821,1.48357,0.93068,0.87688,0.91833,0.8566,0.33308,0.36652,1.57863,0.000165095,0.000165095,0.000165095
45,420.983,0.2862,0.24628,1.49334,0.89244,0.89776,0.91486,0.85531,0.32577,0.37408,1.56954,0.000143097,0.000143097,0.000143097
46,429.878,0.28738,0.2466,1.4663,0.92912,0.88265,0.91886,0.86055,0.32866,0.36102,1.56576,0.000121099,0.000121099,0.000121099
47,439.193,0.27762,0.24547,1.46436,0.91436,0.88303,0.9192,0.8598,0.3265,0.36061,1.57625,9.91012e-05,9.91012e-05,9.91012e-05
48,448.143,0.26912,0.2351,1.46225,0.94368,0.86646,0.92344,0.86712,0.32447,0.35293,1.56075,7.71034e-05,7.71034e-05,7.71034e-05
