epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89668,1.02926,2.46577,1.12453,0.00925,1,0.76362,0.59933,0.80418,2.6312,1.0777,0.0004,0.0004,0.0004
2,4.77574,0.76131,1.42561,0.98809,1,0.37769,0.70101,0.56024,0.99981,2.56435,1.34021,0.000814588,0.000814588,0.000814588
3,6.63676,0.74665,1.27196,0.98968,0.85682,0.55263,0.67113,0.52134,1.07377,2.06787,1.38504,0.00122363,0.00122363,0.00122363
4,8.48181,0.72507,1.16604,0.96768,0.33671,0.46053,0.36924,0.21231,1.5261,2.41674,2.35919,0.00162713,0.00162713,0.00162713
5,10.3041,0.75811,1.10123,0.99201,0.31158,0.48684,0.25661,0.11837,2.14655,2.94261,2.70701,0.0019472,0.0019472,0.0019472
6,12.1423,0.77816,0.98362,0.98426,0.40486,0.39474,0.32985,0.2069,2.24461,2.49952,3.03573,0.001934,0.001934,0.001934
7,13.9585,0.71498,0.91287,0.94131,0.68161,0.59155,0.62634,0.42496,1.17844,1.6576,1.48551,0.0019208,0.0019208,0.0019208
8,15.7708,0.71258,0.82992,0.9751,0.72461,0.56579,0.69635,0.50214,1.12646,1.57932,1.73068,0.0019076,0.0019076,0.0019076
9,17.5969,0.67736,0.76983,0.9793,0.77061,0.60526,0.71081,0.51135,1.01513,2.1552,1.49869,0.0018944,0.0018944,0.0018944
10,19.3972,0.66603,0.74643,0.94764,0.89842,0.81464,0.91402,0.62726,0.84901,1.23084,1.1703,0.0018812,0.0018812,0.0018812
11,21.2261,0.72427,0.7677,0.96249,0.77192,0.67105,0.77467,0.57157,0.86339,1.68464,1.13899,0.001868,0.001868,0.001868
12,23.0353,0.6651,0.6561,0.93409,0.78186,0.77632,0.82685,0.66273,0.80967,0.96877,1.19364,0.0018548,0.0018548,0.0018548
13,24.8704,0.62203,0.61547,0.93109,0.79269,0.76316,0.85077,0.65289,0.84318,1.00929,1.17708,0.0018416,0.0018416,0.0018416
14,26.6736,0.59296,0.59423,0.91827,0.76906,0.83256,0.85482,0.67948,0.82537,0.96556,1.24542,0.0018284,0.0018284,0.0018284
15,28.5197,0.57455,0.56057,0.91303,0.8711,0.71136,0.88965,0.66571,0.83658,1.25095,1.20436,0.0018152,0.0018152,0.0018152
16,30.3528,0.63076,0.68057,0.96686,0.81501,0.86957,0.91819,0.77739,0.74094,0.77497,1.05413,0.001802,0.001802,0.001802
17,32.3224,0.60616,0.57338,0.93187,0.86524,0.78947,0.90086,0.7545,0.67463,0.83866,1.06192,0.0017888,0.0017888,0.0017888
18,34.1601,0.63608,0.58833,0.93661,0.68033,0.86842,0.85319,0.66813,0.69132,0.89338,1.07742,0.0017756,0.0017756,0.0017756
