epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42615,0.39558,0.28384,0.88071,0.94721,0.94434,0.98037,0.83216,0.63204,0.44844,1.07811,0.0004,0.0004,0.0004
2,4.30229,0.38927,0.30037,0.86916,0.91371,0.98684,0.96184,0.81248,0.62461,0.42568,1.07431,0.000803764,0.000803764,0.000803764
3,6.17629,0.429,0.32124,0.87992,0.81377,0.86247,0.89102,0.75082,0.73118,0.69595,1.11377,0.0011909,0.0011909,0.0011909
4,8.00553,0.44156,0.33396,0.86607,0.90517,0.89474,0.92924,0.79383,0.6143,0.55287,1.03816,0.0015614,0.0015614,0.0015614
5,9.82834,0.43647,0.33726,0.88005,0.88409,0.90325,0.92478,0.78696,0.62402,0.59954,1.06572,0.0018416,0.0018416,0.0018416
6,11.6366,0.45648,0.34653,0.87313,0.88193,0.94737,0.95433,0.80685,0.61523,0.55333,1.07406,0.001802,0.001802,0.001802
7,13.441,0.48424,0.35888,0.87479,0.83352,0.92228,0.92501,0.78588,0.63006,0.59994,1.08581,0.0017624,0.0017624,0.0017624
8,15.2653,0.46902,0.35289,0.8812,0.90972,0.88158,0.96187,0.82347,0.64663,0.56713,1.05027,0.0017228,0.0017228,0.0017228
9,17.0585,0.4554,0.34336,0.89666,0.95876,0.91773,0.95801,0.7978,0.72924,0.4757,1.06408,0.0016832,0.0016832,0.0016832
10,18.8566,0.46601,0.35414,0.87519,0.96139,0.84211,0.94871,0.79382,0.68673,0.59147,1.05674,0.0016436,0.0016436,0.0016436
11,20.6829,0.4622,0.39785,0.88255,0.87617,0.88158,0.93565,0.81439,0.54933,0.59047,0.98158,0.001604,0.001604,0.001604
12,22.5051,0.4455,0.33873,0.87879,0.85691,0.81579,0.91962,0.75385,0.70997,0.76514,1.08791,0.0015644,0.0015644,0.0015644
13,24.3203,0.45762,0.35486,0.87902,0.8118,0.89474,0.91113,0.76736,0.67993,0.67452,1.05084,0.0015248,0.0015248,0.0015248
14,26.1312,0.43867,0.34515,0.86893,0.86994,0.78947,0.86849,0.68663,0.86679,0.73278,1.22896,0.0014852,0.0014852,0.0014852
15,28.0443,0.43158,0.34012,0.87353,0.80687,0.88158,0.88275,0.73803,0.6554,0.71079,1.13433,0.0014456,0.0014456,0.0014456
16,29.8643,0.45569,0.36398,0.90195,0.86974,0.94737,0.9538,0.83519,0.52913,0.47993,0.97929,0.001406,0.001406,0.001406
17,31.6855,0.43823,0.34875,0.88237,0.78725,0.89474,0.91109,0.78076,0.58724,0.59077,1.0204,0.0013664,0.0013664,0.0013664
18,33.4968,0.46356,0.35645,0.88571,0.86767,0.86276,0.89191,0.74379,0.72982,0.68052,1.24648,0.0013268,0.0013268,0.0013268
19,35.3089,0.45901,0.35132,0.8871,0.88731,0.93246,0.94503,0.81801,0.61738,0.52518,1.07119,0.0012872,0.0012872,0.0012872
20,37.1162,0.43819,0.32762,0.88204,0.94928,0.98517,0.96515,0.85065,0.5705,0.44153,1.04429,0.0012476,0.0012476,0.0012476
21,38.9314,0.45751,0.34422,0.8878,0.93139,0.93421,0.96569,0.84712,0.57318,0.44284,1.0208,0.001208,0.001208,0.001208
22,40.7377,0.40278,0.31635,0.87488,0.93068,0.86842,0.95325,0.82764,0.52475,0.5207,1.00039,0.0011684,0.0011684,0.0011684
23,42.5479,0.43318,0.32269,0.88428,0.9002,0.93421,0.94844,0.8321,0.53102,0.55636,0.97191,0.0011288,0.0011288,0.0011288
24,44.3643,0.42915,0.30024,0.87017,0.92261,0.94128,0.97338,0.88175,0.50508,0.42498,0.95697,0.0010892,0.0010892,0.0010892
25,46.1686,0.42479,0.31804,0.87803,0.92258,0.94084,0.94594,0.84424,0.50336,0.46585,0.96201,0.0010496,0.0010496,0.0010496
26,47.9818,0.41577,0.29933,0.86139,0.91679,0.98684,0.94136,0.84716,0.52669,0.40958,0.97719,0.00101,0.00101,0.00101
27,49.7961,0.39924,0.29546,0.85493,0.94798,0.95919,0.95062,0.85875,0.5089,0.36894,0.98549,0.0009704,0.0009704,0.0009704
28,51.6352,0.40644,0.28359,0.87485,0.94585,0.98684,0.96675,0.86872,0.496,0.38095,0.93231,0.0009308,0.0009308,0.0009308
29,53.4458,0.39507,0.28724,0.85781,0.94736,0.98684,0.96707,0.86026,0.53056,0.40998,0.97657,0.0008912,0.0008912,0.0008912
30,55.3567,0.41061,0.29829,0.86126,0.94895,0.97843,0.97989,0.84696,0.55742,0.41943,1.00812,0.0008516,0.0008516,0.0008516
31,57.1579,0.38907,0.30103,0.86394,0.92186,0.98684,0.97023,0.87742,0.49777,0.38053,0.94979,0.000812,0.000812,0.000812
32,58.9941,0.39435,0.28183,0.85133,0.94919,0.98334,0.97882,0.87748,0.51279,0.37066,0.96767,0.0007724,0.0007724,0.0007724
33,60.8093,0.3966,0.30557,0.85549,0.94399,0.97368,0.97978,0.87829,0.52657,0.38556,0.95731,0.0007328,0.0007328,0.0007328
34,62.6304,0.38718,0.28905,0.87158,0.93503,0.94679,0.96634,0.86835,0.52635,0.41135,0.9716,0.0006932,0.0006932,0.0006932
35,64.4407,0.36832,0.27483,0.85532,0.93337,0.96053,0.97197,0.8888,0.48284,0.37239,0.94394,0.0006536,0.0006536,0.0006536
36,66.2858,0.38523,0.26652,0.86642,0.92555,0.9815,0.97622,0.88542,0.51136,0.3677,0.94658,0.000614,0.000614,0.000614
37,68.0842,0.36874,0.26151,0.86314,0.91515,0.96053,0.98034,0.88897,0.50373,0.35733,0.94831,0.0005744,0.0005744,0.0005744
38,69.9144,0.35326,0.2574,0.84765,0.92364,0.95496,0.96913,0.87321,0.50085,0.36578,0.97136,0.0005348,0.0005348,0.0005348
39,71.7246,0.36264,0.25181,0.8488,0.89066,0.98684,0.96525,0.87112,0.50495,0.36691,0.97934,0.0004952,0.0004952,0.0004952
40,73.5678,0.35834,0.25347,0.83391,0.89744,0.97368,0.97347,0.88645,0.47966,0.35588,0.93684,0.0004556,0.0004556,0.0004556
41,86.0949,0.36818,0.28064,0.86094,0.94394,0.93421,0.98077,0.88272,0.49008,0.35723,0.92754,0.000416,0.000416,0.000416
42,87.7657,0.32441,0.27154,0.8199,0.93261,0.91043,0.9808,0.87753,0.50079,0.36652,0.91963,0.0003764,0.0003764,0.0003764
43,89.4394,0.34758,0.25979,0.83482,0.94563,0.94737,0.98106,0.89067,0.47655,0.3468,0.91569,0.0003368,0.0003368,0.0003368
44,91.1269,0.31326,0.22374,0.8309,0.92515,0.97368,0.97931,0.88094,0.53352,0.36579,0.9277,0.0002972,0.0002972,0.0002972
45,92.7839,0.32654,0.22448,0.83317,0.9373,0.98354,0.97587,0.86818,0.52498,0.35937,0.93948,0.0002576,0.0002576,0.0002576
46,94.5592,0.30579,0.20728,0.81738,0.94819,0.96316,0.97991,0.87123,0.5285,0.34652,0.93611,0.000218,0.000218,0.000218
47,96.225,0.32591,0.2299,0.81311,0.95965,0.97368,0.98179,0.87304,0.52741,0.34082,0.93079,0.0001784,0.0001784,0.0001784
48,98.0222,0.33679,0.22305,0.87021,0.94594,1,0.96891,0.86491,0.49038,0.32706,0.91417,0.0001388,0.0001388,0.0001388
49,99.8185,0.3102,0.20782,0.80335,0.94984,0.99663,0.9688,0.86358,0.49838,0.32791,0.91962,9.92e-05,9.92e-05,9.92e-05
50,101.615,0.30278,0.20492,0.82634,0.96149,0.98549,0.97679,0.87089,0.51448,0.32765,0.92996,5.96e-05,5.96e-05,5.96e-05
